ccaa_texto;c_ccaa;Pob_20200101
01 Andalucía;AN;8476718
02 Aragón;AR;1330445
03 Asturias, Principado de;AS;1018775
04 Balears, Illes;IB;1210750
05 Canarias;CN;2237309
06 Cantabria;CB;582357
07 Castilla y León;CL;2401230
08 Castilla - La Mancha;CM;2045384
09 Cataluña;CT;7652069
10 Comunitat Valenciana;VC;5028650
11 Extremadura;EX;1061768
12 Galicia;GA;2702244
13 Madrid, Comunidad de;MD;6747425
14 Murcia, Región de;MC;1504607
15 Navarra, Comunidad Foral de;NC;656487
16 País Vasco;PV;2189310
17 Rioja, La;RI;315926
18 Ceuta;CE;84032
19 Melilla;ML;84496
TOTAL;TO;47329981
