Código;Código_3166;Nombre1;Nombre2;Cod_ArcGis
AN;ES-AN;Andalucía;;01
AR;ES-AR;Aragón;;02
AS;ES-AS;Asturias, Principado de;;03
CB;ES-CB;Cantabria;;06
CE;ES-CE;Ceuta;;18
CL;ES-CL;Castilla y León;;07
CM;ES-CM;Castilla-La Mancha;;08
CN;ES-CN;Canarias;;05
CT;ES-CT;Catalunya (Cataluña);;09
EX;ES-EX;Extremadura;;11
GA;ES-GA;Galicia (Galicia);;12
IB;ES-IB;Illes Balears (Islas Baleares);;04
MC;ES-MC;Murcia, Región de;;14
MD;ES-MD;Madrid, Comunidad de;;13
ML;ES-ML;Melilla;;19
NC;ES-NC;Navarra, Comunidad Foral de;Nafarroako Foru Komunitatea;15
PV;ES-PV;País Vasco;Euskal Herria;16
RI;ES-RI;La Rioja;;17
TO;ES-TO;Total España;;20
VC;ES-VC;Valenciana, Comunidad;Valenciana, Comunitat;10
